访客类型,月份,产品相关页面访问持续时间,信息相关页面,用户相关页面,信息相关页面访问持续时间,退出率,跳出率,产品相关页面,网页价值,操作系统,周末,浏览器,用户页面访问持续时间,区域,流量类型,节假日,是否购买
Returning_Visitor,Dec,556.9166667,0,0,0,0.022435897,0.01025641,26,0,4,FALSE,2,0,1,8,0,0
Returning_Visitor,Dec,2348.8125,5,0,39.83333333,0.055166667,0.02,34,0,2,FALSE,2,0,3,1,0,0
New_Visitor,June,1570.133333,6,0,89.8,0.005357143,0,26,0,2,TRUE,2,0,8,4,0,0
Returning_Visitor,Dec,821.6825397,4,2,159,0.019343434,0.000617284,33,0,2,FALSE,2,27.75,1,2,0,1
Returning_Visitor,Jul,584.3777778,5,2,38.57777778,0.064351852,0,7,0,1,TRUE,1,9,1,2,0,1
Returning_Visitor,Dec,642.4642857,0,0,0,0.057142857,0.028571429,21,0,2,TRUE,2,0,6,2,0,0
Returning_Visitor,Jul,11729.40804,0,2,0,0.04524582,0.032877299,377,0,3,FALSE,2,76.6,1,3,0,0
Returning_Visitor,Feb,1582.75,1,1,6,0.050821256,0.043478261,45,54.17976426,3,FALSE,2,0,1,1,0.4,0
Returning_Visitor,Mar,449.6,0,0,0,0.015384615,0,13,0,3,FALSE,2,0,1,10,0,0
Returning_Visitor,May,3,0,0,0,0.16,0.14,10,0,2,FALSE,5,0,2,3,0.8,0
Returning_Visitor,May,52,2,0,0,0.111111111,0.1,3,0,1,TRUE,2,0,1,6,0,0
Returning_Visitor,Nov,930.0535714,4,0,252.5,0.027083333,0,13,0,1,FALSE,1,0,3,3,0,0
Returning_Visitor,Nov,454.9166667,2,0,7,0.025757576,0.009090909,20,0,2,FALSE,2,0,1,10,0,0
Returning_Visitor,May,2154.72381,3,1,283.6666667,0.047660099,0.036781609,27,0,1,TRUE,2,17,1,3,0,0
Returning_Visitor,Jul,472.4333333,0,0,0,0.004395604,0,13,0,2,FALSE,2,0,3,2,0,0
Returning_Visitor,Mar,773.4666667,1,0,44,0.029142857,0,25,10.3572,2,TRUE,2,0,1,2,0,1
Returning_Visitor,Nov,1732.066667,1,0,0,0.050752688,0.025806452,30,13.13492027,2,FALSE,2,0,9,10,0,0
